"index","id","date","fk_checkout","sum"
0,"checkout1_0","2023-06-21T05:37:27.176Z","checkout1",2328.8999999999996
1,"checkout1_1","2023-05-31T05:37:27.176Z","checkout1",2365.068
2,"checkout1_2","2023-06-17T05:37:27.176Z","checkout1",1256.728
3,"checkout1_3","2023-06-04T05:37:27.176Z","checkout1",1687.6080000000002
4,"checkout1_4","2023-07-01T05:37:27.176Z","checkout1",1670.108
5,"checkout1_5","2023-08-08T05:37:27.176Z","checkout1",2194.926
6,"checkout1_6","2023-07-04T05:37:27.176Z","checkout1",2435.0299999999997
7,"checkout1_7","2023-06-29T05:37:27.176Z","checkout1",2100.508
8,"checkout1_8","2023-07-13T05:37:27.176Z","checkout1",1421.4699999999998
9,"checkout1_9","2023-05-18T05:37:27.176Z","checkout1",890.278
10,"checkout1_10","2023-08-12T05:37:27.176Z","checkout1",1319.12
11,"checkout1_11","2023-06-13T05:37:27.176Z","checkout1",2814.9916000000003
12,"checkout1_12","2023-07-25T05:37:27.176Z","checkout1",186.572
13,"checkout1_13","2023-05-29T05:37:27.176Z","checkout1",2151.2835
14,"checkout1_14","2023-05-26T05:37:27.176Z","checkout1",1071.08
15,"checkout1_15","2023-05-22T05:37:27.176Z","checkout1",2335.1800000000003
16,"checkout1_16","2023-07-16T05:37:27.176Z","checkout1",945.9499999999999
17,"checkout1_17","2023-05-30T05:37:27.176Z","checkout1",3637.534
18,"checkout1_18","2023-06-11T05:37:27.176Z","checkout1",1222.1664
19,"checkout1_19","2023-07-05T05:37:27.176Z","checkout1",1090.56
20,"checkout1_20","2023-07-10T05:37:27.176Z","checkout1",1014.3575999999999
21,"checkout1_21","2023-08-02T05:37:27.176Z","checkout1",329.13
22,"checkout1_22","2023-07-25T05:37:27.176Z","checkout1",1479.7523999999999
23,"checkout1_23","2023-08-07T05:37:27.176Z","checkout1",2324.3179999999998
24,"checkout1_24","2023-06-27T05:37:27.176Z","checkout1",783.4180000000001
25,"checkout1_25","2023-05-21T05:37:27.176Z","checkout1",2020.968
26,"checkout1_26","2023-07-01T05:37:27.176Z","checkout1",930.2440000000001
27,"checkout1_27","2023-06-26T05:37:27.176Z","checkout1",3503.6820000000002
28,"checkout1_28","2023-05-22T05:37:27.176Z","checkout1",727.038
29,"checkout1_29","2023-08-05T05:37:27.176Z","checkout1",752.1799999999998
30,"checkout1_30","2023-06-09T05:37:27.176Z","checkout1",1673.7240000000002
31,"checkout1_31","2023-06-10T05:37:27.176Z","checkout1",2371.41
32,"checkout1_32","2023-07-31T05:37:27.176Z","checkout1",2846.6143
33,"checkout1_33","2023-05-15T05:37:27.176Z","checkout1",1007.83
34,"checkout1_34","2023-06-02T05:37:27.176Z","checkout1",3233.8675
35,"checkout1_35","2023-06-06T05:37:27.176Z","checkout1",1747.128
36,"checkout1_36","2023-05-22T05:37:27.176Z","checkout1",2612.37
37,"checkout1_37","2023-07-30T05:37:27.176Z","checkout1",1951.9060000000002
38,"checkout1_38","2023-05-27T05:37:27.176Z","checkout1",3572.5880000000006
39,"checkout1_39","2023-07-19T05:37:27.176Z","checkout1",1665.5510000000002
40,"checkout1_40","2023-05-14T05:37:27.176Z","checkout1",1254.19
41,"checkout1_41","2023-06-02T05:37:27.176Z","checkout1",1187.6799999999998
42,"checkout1_42","2023-08-10T05:37:27.176Z","checkout1",4175.984
43,"checkout1_43","2023-06-19T05:37:27.176Z","checkout1",2352.6679999999997
44,"checkout1_44","2023-08-16T05:37:27.176Z","checkout1",2119.788
45,"checkout1_45","2023-07-08T05:37:27.176Z","checkout1",711.9702
46,"checkout1_46","2023-05-28T05:37:27.176Z","checkout1",2879.1499999999996
47,"checkout1_47","2023-06-09T05:37:27.176Z","checkout1",2749.976
48,"checkout1_48","2023-06-10T05:37:27.176Z","checkout1",787.5
49,"checkout1_49","2023-08-01T05:37:27.176Z","checkout1",2176.337
50,"checkout1_50","2023-07-15T05:37:27.176Z","checkout1",1981.8933
51,"checkout1_51","2023-06-18T05:37:27.176Z","checkout1",971.72
52,"checkout1_52","2023-08-04T05:37:27.176Z","checkout1",653.55
53,"checkout1_53","2023-07-16T05:37:27.176Z","checkout1",567.9
54,"checkout1_54","2023-06-09T05:37:27.176Z","checkout1",2007.79
55,"checkout1_55","2023-08-14T05:37:27.176Z","checkout1",635.3592
56,"checkout1_56","2023-06-11T05:37:27.176Z","checkout1",1188.524
57,"checkout1_57","2023-07-29T05:37:27.176Z","checkout1",1459.5895000000003
58,"checkout1_58","2023-08-18T05:37:27.176Z","checkout1",1061.7
59,"checkout1_59","2023-07-20T05:37:27.176Z","checkout1",1724.0789999999997
60,"checkout1_60","2023-06-12T05:37:27.176Z","checkout1",3749.2799999999997
61,"checkout1_61","2023-05-29T05:37:27.176Z","checkout1",2300.373
62,"checkout1_62","2023-05-30T05:37:27.176Z","checkout1",3506.904
63,"checkout1_63","2023-07-25T05:37:27.176Z","checkout1",551.4
64,"checkout1_64","2023-07-12T05:37:27.176Z","checkout1",2097.6
65,"checkout1_65","2023-07-23T05:37:27.176Z","checkout1",897.3200000000002
66,"checkout1_66","2023-07-29T05:37:27.176Z","checkout1",1458.5
67,"checkout1_67","2023-07-29T05:37:27.176Z","checkout1",2035.7800000000002
68,"checkout1_68","2023-08-13T05:37:27.176Z","checkout1",2001.3128000000002
69,"checkout1_69","2023-08-01T05:37:27.176Z","checkout1",1665.796
70,"checkout1_70","2023-08-01T05:37:27.176Z","checkout1",766.2
71,"checkout1_71","2023-08-18T05:37:27.176Z","checkout1",3647.5092000000004
72,"checkout1_72","2023-07-07T05:37:27.176Z","checkout1",2592.188
73,"checkout1_73","2023-07-28T05:37:27.176Z","checkout1",1652.1865
74,"checkout1_74","2023-07-14T05:37:27.176Z","checkout1",924.3199999999999
75,"checkout1_75","2023-07-29T05:37:27.176Z","checkout1",1115.14
76,"checkout1_76","2023-07-31T05:37:27.176Z","checkout1",626.2
77,"checkout1_77","2023-06-15T05:37:27.176Z","checkout1",1680.5
